index_left,tag,t,lat,lon,geometry
13,INVASAO  A ESTABELECIMENTO COMERCIAL,2014-05-11 01:23:47,-5.824278647008507,-35.25615636211026,POINT (-35.25615636211026 -5.824278647008507)
22,ROUBO A ESTABELECIMENTO COMERCIAL,2014-05-11 13:12:19,-5.82374280735147,-35.25452951409265,POINT (-35.25452951409265 -5.82374280735147)
50,ROUBO A ESTABELECIMENTO BANCARIO,2014-05-15 15:08:19,-5.827928025461872,-35.24777652457216,POINT (-35.24777652457216 -5.827928025461872)
63,ROUBO A ESTABELECIMENTO COMERCIAL,2014-05-17 20:17:24,-5.8232951843383,-35.25344458919331,POINT (-35.25344458919331 -5.8232951843383)
121,ROUBO EM RESIDENCIA,2014-05-25 23:16:42,-5.826534123722148,-35.25724851178357,POINT (-35.25724851178357 -5.826534123722148)
125,FURTO EM RESIDENCIA,2014-05-26 07:42:49,-5.829802412420642,-35.25374133424626,POINT (-35.25374133424626 -5.829802412420642)
156,ROUBO A FARMACIA,2014-05-30 11:17:40,-5.82374280735147,-35.25452951409265,POINT (-35.25452951409265 -5.82374280735147)
185,INVASAO  A DOMICILIO,2014-06-01 22:47:16,-5.819598095297223,-35.2511733265537,POINT (-35.2511733265537 -5.819598095297223)
202,ROUBO A ESTABELECIMENTO COMERCIAL,2014-06-03 16:50:40,-5.829975224934866,-35.255727802246845,POINT (-35.25572780224685 -5.829975224934866)
218,ROUBO EM RESIDENCIA,2014-06-05 22:17:25,-5.827011440310633,-35.25093206444563,POINT (-35.25093206444563 -5.827011440310633)
229,ROUBO A ESTABELECIMENTO COMERCIAL,2014-06-07 17:52:55,-5.829917407496141,-35.247603917219145,POINT (-35.24760391721914 -5.829917407496141)
233,ARROMBAMENTO A ESTABELECIMENTO COMERCIAL,2014-06-07 22:12:14,-5.821106193000253,-35.25830996637741,POINT (-35.25830996637741 -5.821106193000253)
253,FURTO EM RESIDENCIA,2014-06-09 22:27:30,-5.819598095297223,-35.2511733265537,POINT (-35.2511733265537 -5.819598095297223)
256,FURTO EM RESIDENCIA,2014-06-10 10:26:38,-5.821553081340424,-35.259575405752514,POINT (-35.25957540575251 -5.821553081340424)
271,ROUBO A ESTABELECIMENTO COMERCIAL,2014-06-12 17:40:30,-5.819598095297223,-35.2511733265537,POINT (-35.2511733265537 -5.819598095297223)
277,INVASAO  A DOMICILIO,2014-06-12 21:16:58,-5.824278647008507,-35.25615636211026,POINT (-35.25615636211026 -5.824278647008507)
311,FURTO EM RESIDENCIA,2014-06-17 23:26:34,-5.821639120586881,-35.260658881352235,POINT (-35.26065888135224 -5.821639120586881)
329,ROUBO A ESTABELECIMENTO COMERCIAL,2014-06-20 12:57:08,-5.819598095297223,-35.2511733265537,POINT (-35.2511733265537 -5.819598095297223)
650,INVASAO  A DOMICILIO,2014-06-22 00:46:40,-5.824081178828433,-35.26030760215857,POINT (-35.26030760215857 -5.824081178828433)
655,INVASAO  A DOMICILIO,2014-06-22 13:48:41,-5.829803136953501,-35.25356081177234,POINT (-35.25356081177234 -5.829803136953501)
694,INVASAO  A DOMICILIO,2014-06-28 04:05:09,-5.827928025461872,-35.24777652457216,POINT (-35.24777652457216 -5.827928025461872)
696,INVASAO  A DOMICILIO,2014-06-28 10:44:36,-5.823193205235543,-35.25633255219142,POINT (-35.25633255219142 -5.823193205235543)
715,INVASAO  A DOMICILIO,2014-06-29 20:23:46,-5.831488300915653,-35.26160092029437,POINT (-35.26160092029437 -5.831488300915653)
737,INVASAO  A DOMICILIO,2014-07-02 22:59:03,-5.823706531359818,-35.26355550702712,POINT (-35.26355550702712 -5.823706531359818)
749,INVASAO  A DOMICILIO,2014-07-04 00:28:08,-5.828901015281987,-35.25310589856009,POINT (-35.25310589856009 -5.828901015281987)
822,INVASAO  A DOMICILIO,2014-07-12 18:33:58,-5.827011440310633,-35.25093206444563,POINT (-35.25093206444563 -5.827011440310633)
847,INVASAO  A DOMICILIO,2014-07-14 23:18:45,-5.819598095297223,-35.2511733265537,POINT (-35.2511733265537 -5.819598095297223)
918,ARROMBAMENTO A ESTABELECIMENTO COMERCIAL,2014-07-22 01:14:27,-5.828069354009318,-35.25761569555229,POINT (-35.25761569555229 -5.828069354009318)
962,ROUBO A ESTABELECIMENTO COMERCIAL,2014-07-26 18:59:40,-5.819271478579898,-35.26498191762675,POINT (-35.26498191762675 -5.819271478579898)
1016,INVASAO  A DOMICILIO,2014-08-01 02:00:23,-5.82172225256894,-35.26246443182943,POINT (-35.26246443182943 -5.82172225256894)
1073,ROUBO A ESTABELECIMENTO COMERCIAL,2014-08-08 13:37:08,-5.819598095297223,-35.2511733265537,POINT (-35.2511733265537 -5.819598095297223)
1100,INVASAO  A ESTABELECIMENTO COMERCIAL,2014-08-12 00:42:01,-5.830035106768071,-35.263310079822496,POINT (-35.2633100798225 -5.830035106768071)
1127,INVASAO  A DOMICILIO,2014-08-16 04:12:01,-5.820872992506976,-35.248831602992524,POINT (-35.24883160299252 -5.820872992506976)
1179,INVASAO  A DOMICILIO,2014-08-24 02:59:48,-5.820185576421479,-35.26245828354135,POINT (-35.26245828354135 -5.820185576421479)
1181,INVASAO  A DOMICILIO,2014-08-24 23:47:17,-5.819598095297223,-35.2511733265537,POINT (-35.2511733265537 -5.819598095297223)
1187,INVASAO  A DOMICILIO,2014-08-26 06:57:38,-5.828155029312895,-35.25878944585593,POINT (-35.25878944585593 -5.828155029312895)
1197,INVASAO  A DOMICILIO,2014-08-27 20:04:43,-5.828901015281987,-35.25310589856009,POINT (-35.25310589856009 -5.828901015281987)
1219,INVASAO  A ESTABELECIMENTO COMERCIAL,2014-08-29 22:51:29,-5.82172225256894,-35.26246443182943,POINT (-35.26246443182943 -5.82172225256894)
1276,INVASAO  A DOMICILIO,2014-09-06 16:30:01,-5.8203667249503654,-35.26236874760113,POINT (-35.26236874760113 -5.820366724950365)
1316,INVASAO  A DOMICILIO,2014-09-10 22:36:28,-5.822441034412448,-35.26355043943183,POINT (-35.26355043943183 -5.822441034412448)
1412,FURTO EM RESIDENCIA,2014-09-23 18:49:14,-5.828901015281987,-35.25310589856009,POINT (-35.25310589856009 -5.828901015281987)
1417,ROUBO EM RESIDENCIA,2014-09-24 13:24:12,-5.825429443690686,-35.262208486861304,POINT (-35.2622084868613 -5.825429443690686)
1527,INVASAO  A DOMICILIO,2014-10-12 23:33:00,-5.820267614071268,-35.26453460444993,POINT (-35.26453460444993 -5.820267614071268)
1560,ROUBO A ESTABELECIMENTO COMERCIAL,2014-10-17 13:22:10,-5.820556946061564,-35.26002272933843,POINT (-35.26002272933843 -5.820556946061564)
1566,INVASAO  A DOMICILIO,2014-10-17 23:30:17,-5.820733015046008,-35.261196823455286,POINT (-35.26119682345529 -5.820733015046008)
1643,FURTO EM RESIDENCIA,2014-10-28 22:01:29,-5.820563472692223,-35.25839805988683,POINT (-35.25839805988683 -5.820563472692223)
1649,ARROMBAMENTO A ESTABELECIMENTO COMERCIAL,2014-10-30 00:14:12,-5.819598095297223,-35.2511733265537,POINT (-35.2511733265537 -5.819598095297223)
1708,ROUBO A ESTABELECIMENTO COMERCIAL,2014-11-08 19:30:05,-5.819271478579898,-35.26498191762675,POINT (-35.26498191762675 -5.819271478579898)
