index_left,tag,t,lat,lon,geometry
2,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-05-09 09:45:44,-5.819598095297223,-35.2511733265537,POINT (-35.2511733265537 -5.819598095297223)
11,DISPARO DE ARMA DE FOGO EM VIA PUBLICA,2014-05-10 22:00:29,-5.824278647008507,-35.25615636211026,POINT (-35.25615636211026 -5.824278647008507)
12,LESAO CORPORAL POR ARMA BRANCA,2014-05-10 23:47:05,-5.8310690046776585,-35.253475601989344,POINT (-35.25347560198934 -5.831069004677659)
33,LESAO CORPORAL POR AGRESSAO FISICA,2014-05-12 13:56:45,-5.817711742196554,-35.24818720723117,POINT (-35.24818720723117 -5.817711742196554)
45,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-05-14 15:23:22,-5.8241397917916835,-35.24568542246654,POINT (-35.24568542246654 -5.824139791791684)
46,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-05-14 16:15:40,-5.819598095297223,-35.2511733265537,POINT (-35.2511733265537 -5.819598095297223)
48,LESAO CORPORAL POR AGRESSAO FISICA,2014-05-15 09:54:07,-5.821121404312234,-35.25451905994022,POINT (-35.25451905994022 -5.821121404312234)
81,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-05-20 02:17:33,-5.820563472692223,-35.25839805988683,POINT (-35.25839805988683 -5.820563472692223)
84,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-05-20 10:07:34,-5.829802412420642,-35.25374133424626,POINT (-35.25374133424626 -5.829802412420642)
101,LESAO CORPORAL POR ARMA BRANCA,2014-05-22 20:18:24,-5.823652776167616,-35.254438893322146,POINT (-35.25443889332215 -5.823652776167616)
105,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-05-23 22:16:12,-5.8281858312408685,-35.25111726979675,POINT (-35.25111726979675 -5.828185831240869)
116,DISPARO DE ARMA DE FOGO EM EDIFICACOES,2014-05-24 22:34:34,-5.819598095297223,-35.2511733265537,POINT (-35.2511733265537 -5.819598095297223)
155,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-05-30 11:06:35,-5.829802412420642,-35.25374133424626,POINT (-35.25374133424626 -5.829802412420642)
162,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-05-31 00:15:32,-5.81879394032334,-35.24882333642471,POINT (-35.24882333642471 -5.81879394032334)
163,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-05-31 01:59:41,-5.819598095297223,-35.2511733265537,POINT (-35.2511733265537 -5.819598095297223)
181,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-06-01 13:43:17,-5.824717195344401,-35.25949779260233,POINT (-35.25949779260233 -5.824717195344401)
186,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-06-02 00:29:42,-5.819598095297223,-35.2511733265537,POINT (-35.2511733265537 -5.819598095297223)
206,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-06-04 07:23:06,-5.825006863608261,-35.25489560425699,POINT (-35.25489560425699 -5.825006863608261)
213,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-06-05 16:54:10,-5.819818557890995,-35.26381072288213,POINT (-35.26381072288213 -5.819818557890995)
227,LESAO CORPORAL POR AGRESSAO FISICA,2014-06-07 15:21:21,-5.828632731830474,-35.25238272774146,POINT (-35.25238272774146 -5.828632731830474)
240,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-06-08 16:41:12,-5.831970400157776,-35.25411104188179,POINT (-35.25411104188179 -5.831970400157776)
245,LESAO CORPORAL POR ARMA BRANCA,2014-06-08 21:36:44,-5.816908650507325,-35.245566446414394,POINT (-35.24556644641439 -5.816908650507325)
248,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-06-09 00:37:08,-5.826897508971689,-35.25679865373653,POINT (-35.25679865373653 -5.826897508971689)
249,DISPARO DE ARMA DE FOGO EM VIA PUBLICA,2014-06-09 18:07:29,-5.816908650507325,-35.245566446414394,POINT (-35.24556644641439 -5.816908650507325)
305,LESAO CORPORAL EM VIOLENCIA DOMESTICA,2014-06-17 20:58:54,-5.8241397917916835,-35.24568542246654,POINT (-35.24568542246654 -5.824139791791684)
